HHID,PN,RSUBHH,QSUBHH,RPN_SP,RCSR,RFAMR,RFINR,RT001,RT002,RT003,RT004M1,RT004M2,RT004M3,RT004M4,RT004M5,RT004M6,RT004M7,RT004M8,RT004M9,RT004M10,RT005,RT006,RT007M1,RT007M2,RT007M3,RT007M4,RT007M5,RT007M6,RT007M7,RT007M8,RT008,RT011,RT012,RT013,RT014,RT015,RT016,RT017M1,RT017M2,RT017M3,RT017M4,RT017M5,RT017M6,RT017M7,RT017M8,RT017M9,RT018,RT019,RT020,RT021,RT022,RT023,RT024,RT025,RT026,RT027,RT028,RT029M1,RT029M2,RT029M3,RT029M4,RT029M5,RT029M6,RT029M7,RT031,RT032,RT033,RT034,RT035,RT036,RT037,RT038,RT039,RT040,RT041,RT042,RT043,RT044,RT252,RT245,RT246,RT247M1,RT247M2,RT247M3,RT247M4,RT248M1,RT248M2,RT248M3,RT248M4,RT248M5,RT248M6,RT250,RT251,RT254,RT255,RT256M1,RT256M2,RT256M3,RT257,RT258M1,RT258M2,RT258M3,RT047,RCOVFLAG,RTMODE,RVDATE,RVERSION
b'010003',b'030',b'0',b'0',,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0
b'010004',b'040',b'1',b'0',,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,,,,,,,,,5.0,1.0,3.0,5.0,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,1.0,1.0,3.0,4.0,,,97.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,3.0,1.0
b'010013',b'040',b'1',b'1',,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,5.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,-8.0,,1.0,4.0,,,,3.0,,,,,,1.0,5.0,,,,,,,,,,,,3.0,8.0,1.0
b'010038',b'010',b'0',b'0',b'040',1.0,5.0,1.0,1.0,1.0,1.0,93.0,,,,,,,,,,,1.0,3.0,5.0,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,-8.0,,1.0,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,3.0,7.0,1.0
b'010038',b'040',b'0',b'0',b'010',5.0,1.0,5.0,1.0,1.0,1.0,3.0,5.0,,,,,,,,,1.0,1.0,3.0,5.0,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,-8.0,,1.0,3.0,4.0,,,3.0,5.0,,,,,1.0,1.0,,,,,,,,,,,,3.0,7.0,1.0
b'010050',b'010',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,8.0,1.0
b'010059',b'020',b'0',b'0',b'030',1.0,1.0,5.0,1.0,1.0,1.0,96.0,,,,,,,,,,1.0,5.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,5.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,9.0,1.0
b'010059',b'030',b'0',b'0',b'020',5.0,5.0,1.0,1.0,1.0,1.0,3.0,5.0,7.0,,,,,,,,1.0,8.0,,,,,,,,,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,1.0,,1.0,3.0,,,,,,,,,,1.0,8.0,,,,,,,,,,1.0,,1.0,11.0,1.0
b'010075',b'020',b'0',b'0',,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,5.0,1.0,4.0,,,,3.0,,,,,,1.0,5.0,,,,,,,,,,1.0,,1.0,11.0,1.0
b'010106',b'010',b'0',b'0',b'020',5.0,1.0,1.0,2.0,1.0,1.0,3.0,5.0,,,,,,,,,1.0,1.0,5.0,4.0,,,,,,,5.0,1.0,1.0,100000.0,,,,91.0,,,,,,,,,1.0,,,,,,500.0,2.0,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,1.0,,1.0,4.0,,,,3.0,5.0,,,,,1.0,8.0,,,,,,,,,,1.0,,1.0,12.0,1.0
